Countries (X),Time expected to be spent teaching  (Y)
Oced Average,667
Australia,811
Austria,589
Belgium(Flemish),622
Belgium (French),596
Canada,746
Chile,"1,063"
Colombia,880
Czech Republic,589
Denmark,405
Estonia,568
Finland,550
France,684
Germany,717
Greece,642
Hungary,644
Iceland,472
Ireland,726
Israel,623
Italy,617
Japan,511
"Korea, Republic of",547
Latvia,"1,020"
Lithuania,648
Mexico,853
Netherlands,750
New Zealand,760
Norway,523
Poland,475
Portugal,612
Slovak Republic,573
Slovenia,570
Spain,693
Switzerland,621
Turkey,504
Scotland,855
United States,966
Costa Rica,"1,267"
Russian Federation ,483